@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Spectral centroid' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
2802.7537,1497
2825.4365,1498
2457.0786,1499
2505.5278,1500
2421.464,1501
2587.4194,1502
2532.9746,1503
2474.1123,1504
2320.439,1505
2366.9917,1506
2680.8057,1507
2625.2925,1508
3302.2644,1509
3122.1775,1510
3246.9707,1511
2921.1184,1512
2731.0488,1513
2795.4001,1514
2284.836,1515
2323.6375,1516
2621.6453,1517
2915.455,1518
2693.69,1519
2888.854,1520
3223.2344,1521
2392.651,1522
2610.9524,1523
2118.2688,1524
2456.5415,1525
2431.4524,1526
2246.4526,1527
2335.7048,1528
2275.268,1529
2297.6997,1530
1894.7169,1531
2582.9907,1532
2199.039,1533
1813.975,1534
2470.1785,1535
2665.49,1536
3100.5574,1537
3081.8118,1538
3260.755,1539
3113.2363,1540
2038.0974,1541
2967.8525,1542
2256.836,1543
2645.1929,1544
2123.5527,1545
2200.9243,1546
1849.9271,1547
2055.9165,1548
2428.6719,1549
2333.3103,1550
2030.9504,1551
1715.8926,1552
2255.5142,1553
1894.7273,1554
2648.3787,1555
2766.6367,1556
2392.2493,1557
2220.7114,1558
1990.6555,1559
1978.9675,1560
1986.6906,1561
2661.5015,1562
2252.3704,1563
2802.1414,1564
2862.438,1565
2941.4111,1566
3106.178,1567
2120.7886,1568
2438.5508,1569
2242.5933,1570
2132.547,1571
1900.7592,1572
2166.7502,1573
2034.3479,1574
2589.2986,1575
3166.8403,1576
2727.0786,1577
2478.0193,1578
2437.4568,1579
2648.0076,1580
2352.1184,1581
2327.4346,1582
2034.5687,1583
2359.7524,1584
2334.4512,1585
2150.5728,1586
2374.3013,1587
2248.5957,1588
2147.2002,1589
2659.4111,1590
2671.4514,1591
2994.9668,1592
3182.7844,1593
2975.128,1594
2858.3916,1595
2498.3809,1596
2321.1555,1597
2522.5344,1598
2205.2578,1599
2243.6687,1600
2457.5183,1601
2383.7368,1602
2241.2827,1603
2577.1387,1604
2771.284,1605
2491.6753,1606
2294.6528,1607
2187.4604,1608
2070.8936,1609
2017.3253,1610
2479.2754,1611
2559.6707,1612
2244.5967,1613
2199.7686,1614
2318.1628,1615
1941.0885,1616
2043.0105,1617
2514.1985,1618
2901.9453,1619
3066.5227,1620
2804.9578,1621
2903.0051,1622
2754.0095,1623
2684.988,1624
3081.517,1625
2740.2375,1626
2873.945,1627
2779.5234,1628
2837.425,1629
2697.0137,1630
2705.8123,1631
3218.3809,1632
1959.6578,1633
2446.1484,1634
2297.235,1635
2262.0156,1636
2394.59,1637
2548.5833,1638
2754.929,1639
2216.5952,1640
2452.0571,1641
2128.696,1642
2003.8562,1643
1853.9058,1644
2645.7646,1645
2878.11,1646
