@RELATION 'Music feature'
%rows=3
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Amplitude, position and width of 2nd spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 2nd spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 2nd spectral peak' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.071564026,2627.0508,18.0,602
0.06596884,2627.0508,14.0,603
0.13563922,2627.0508,29.0,604
0.118329935,689.0625,12.0,605
0.09800773,645.9961,15.0,606
0.10052542,2627.0508,22.0,607
0.0978782,775.1953,16.0,608
0.0995867,387.59766,11.0,609
0.1026449,2540.918,21.0,610
0.091304176,732.1289,22.0,611
0.070402786,732.1289,6.0,612
0.054024946,2583.9844,20.0,613
0.120558836,301.46484,11.0,614
0.079732865,2540.918,10.0,615
0.109952115,689.0625,12.0,616
0.15591516,1679.5898,18.0,617
0.13875978,1248.9258,19.0,618
0.11162522,1679.5898,22.0,619
0.09781669,473.73047,6.0,620
0.09713295,1722.6562,19.0,621
0.13835146,1679.5898,25.0,622
0.08200662,1679.5898,23.0,623
0.079526216,2411.7188,14.0,624
0.0650089,559.8633,8.0,625
0.07128535,645.9961,10.0,626
0.058087867,559.8633,12.0,627
0.07551335,2368.6523,16.0,628
0.13912505,387.59766,12.0,629
0.110201724,2454.7852,18.0,630
0.07364804,2799.3164,13.0,631
0.11617231,3100.7812,24.0,632
0.12314238,3316.1133,12.0,633
0.10687868,473.73047,10.0,634
0.09977154,2627.0508,36.0,635
0.07573729,86.13281,10.0,636
0.10836628,2411.7188,13.0,637
0.1130418,2627.0508,40.0,638
0.12382263,2627.0508,12.0,639
0.079852365,387.59766,5.0,640
0.086002186,2713.1836,30.0,641
0.06682057,904.39453,12.0,642
0.08775742,2497.8516,25.0,643
0.08729776,1248.9258,31.0,644
0.14282262,1248.9258,22.0,645
0.13453887,1679.5898,24.0,646
0.1128261,1248.9258,23.0,647
0.09479919,1248.9258,19.0,648
0.103092745,559.8633,5.0,649
0.08761984,818.2617,10.0,650
0.1047425,2497.8516,22.0,651
0.1489017,559.8633,16.0,652
0.122704275,559.8633,29.0,653
0.11885722,559.8633,29.0,654
0.06337479,2411.7188,14.0,655
0.0875877,2497.8516,11.0,656
0.08272799,559.8633,4.0,657
0.08584264,5598.633,13.0,658
0.102978535,387.59766,10.0,659
0.084897235,559.8633,42.0,660
0.073139295,387.59766,5.0,661
0.091154724,3445.3125,12.0,662
0.10115462,129.19922,7.0,663
0.16850194,86.13281,5.0,664
0.13768674,602.9297,17.0,665
0.10130278,559.8633,21.0,666
0.13909504,1248.9258,24.0,667
0.17968193,1248.9258,20.0,668
0.11551473,1679.5898,18.0,669
0.10403514,775.1953,10.0,670
0.088263884,344.53125,16.0,671
0.10089623,1679.5898,28.0,672
0.13195543,1248.9258,22.0,673
0.13036002,1248.9258,13.0,674
0.118361145,1679.5898,25.0,675
0.14002468,1679.5898,25.0,676
0.12637678,1679.5898,15.0,677
0.095061086,1679.5898,24.0,678
0.07441792,1679.5898,18.0,679
0.14925958,1248.9258,17.0,680
0.080562815,1679.5898,17.0,681
0.07745543,473.73047,9.0,682
0.06149824,516.7969,10.0,683
0.108093776,430.66406,10.0,684
0.083011255,689.0625,14.0,685
0.065872595,559.8633,30.0,686
0.103727825,473.73047,6.0,687
0.10313076,473.73047,6.0,688
0.050364867,2799.3164,10.0,689
0.080757,473.73047,6.0,690
0.07920173,258.39844,11.0,691
0.10815004,2627.0508,16.0,692
0.10508746,2627.0508,12.0,693
0.11879743,2627.0508,30.0,694
0.06876341,2454.7852,43.0,695
0.07840566,2282.5195,21.0,696
0.078397125,3919.043,22.0,697
0.17493829,430.66406,10.0,698
0.11759976,559.8633,12.0,699
0.08918119,559.8633,20.0,700
0.18664393,86.13281,4.0,701
0.16804196,430.66406,11.0,702
0.059806887,3229.9805,28.0,703
0.17430776,86.13281,2.0,704
0.13264759,387.59766,11.0,705
0.10936502,430.66406,8.0,706
0.076666944,430.66406,8.0,707
0.041795496,775.1953,34.0,708
0.060354628,387.59766,14.0,709
0.05306864,732.1289,11.0,710
0.07387361,645.9961,5.0,711
0.09995948,2627.0508,27.0,712
0.14839484,344.53125,22.0,713
0.11492163,172.26562,4.0,714
0.08009076,2627.0508,22.0,715
0.0993095,602.9297,13.0,716
0.075318396,2411.7188,15.0,717
0.06287151,689.0625,26.0,718
0.10767676,2540.918,15.0,719
0.07073034,645.9961,37.0,720
0.08568688,86.13281,2.0,721
0.0709283,2670.1172,15.0,722
0.12815963,387.59766,7.0,723
0.09584459,473.73047,5.0,724
0.1274694,172.26562,10.0,725
0.08692658,430.66406,5.0,726
0.094658084,1248.9258,18.0,727
0.08565468,861.3281,10.0,728
0.123219505,172.26562,13.0,729
0.12404335,430.66406,15.0,730
0.12425788,129.19922,3.0,731
0.10152968,516.7969,11.0,732
0.062244672,559.8633,10.0,733
0.09446176,516.7969,8.0,734
0.04805881,775.1953,8.0,735
0.11198644,559.8633,17.0,736
0.06400926,1248.9258,21.0,737
