@RELATION 'Music feature'
%rows=2
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Average distance between extremal spectral values and its variance' NUMERIC
@ATTRIBUTE 'Average distance between extremal spectral values and its variance' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
331.61133,166.10834,1068
325.6897,281.77606,1069
310.88562,152.54202,1070
304.07492,211.49745,1071
296.54297,158.07573,1072
290.0649,209.50479,1073
326.47113,186.53087,1074
365.32193,189.45866,1075
328.38135,185.47014,1076
313.57727,153.86613,1077
331.61133,160.04256,1078
265.1984,127.49797,1079
318.1357,136.92287,1080
286.69922,118.70038,1081
286.69922,148.09651,1082
300.23438,162.28198,1083
287.49738,151.20692,1084
307.99005,132.89667,1085
303.99817,192.29869,1086
316.26892,193.38248,1087
329.24963,154.52434,1088
245.79364,134.59885,1089
291.6211,152.37953,1090
279.34967,143.57776,1091
325.0819,224.67047,1092
