@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Distances in phase domain' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.23635566,2473
0.24485789,2474
0.23380215,2475
0.22132947,2476
0.203591,2477
0.19704622,2478
0.21505061,2479
0.198017,2480
0.16320316,2481
0.15144493,2482
0.14333937,2483
0.12779737,2484
0.13933495,2485
0.14330682,2486
0.15796898,2487
0.15715984,2488
0.15321924,2489
0.18148619,2490
0.13490164,2491
0.13983437,2492
0.14974618,2493
0.13727328,2494
0.15213609,2495
0.13134483,2496
0.19453347,2497
0.18775813,2498
0.1871433,2499
0.1901799,2500
0.19924492,2501
0.18585904,2502
0.18038166,2503
0.17787428,2504
0.18846764,2505
0.19474289,2506
0.17311634,2507
0.16297045,2508
0.15702474,2509
0.17435773,2510
0.18771216,2511
0.1678558,2512
0.15960568,2513
0.15877834,2514
0.16110542,2515
0.18305522,2516
0.16027398,2517
0.17808558,2518
0.1473115,2519
0.14121716,2520
0.12969781,2521
0.1294295,2522
0.1253934,2523
0.14152299,2524
0.18472286,2525
0.2082225,2526
0.19098811,2527
0.20206335,2528
0.18879181,2529
0.17535709,2530
0.17587632,2531
0.18780956,2532
0.20075738,2533
0.18302327,2534
0.16488206,2535
0.162051,2536
0.20469339,2537
0.20659985,2538
0.1863164,2539
0.18838184,2540
0.20305605,2541
0.20598124,2542
0.19663098,2543
0.19703086,2544
0.20518368,2545
0.20178065,2546
0.18305632,2547
0.13171262,2548
0.13016474,2549
0.12632519,2550
0.14889975,2551
0.18515725,2552
0.15613823,2553
0.16370137,2554
0.15609376,2555
0.16753165,2556
0.18041758,2557
0.16645516,2558
0.16806826,2559
0.19247128,2560
0.15516162,2561
0.14533953,2562
0.15004754,2563
0.16438667,2564
0.20442292,2565
0.21823105,2566
0.15333462,2567
0.16197616,2568
0.18952131,2569
0.17735994,2570
0.19046335,2571
0.19145139,2572
0.19443402,2573
0.21330248,2574
0.21653548,2575
0.20301263,2576
0.20564163,2577
0.19839346,2578
0.19508682,2579
0.2077762,2580
0.18182676,2581
0.1915838,2582
0.21562248,2583
0.17824964,2584
0.14151587,2585
0.14989257,2586
0.14560837,2587
0.17359018,2588
0.184751,2589
0.16597116,2590
0.1669556,2591
0.18179697,2592
0.19448625,2593
0.15863414,2594
0.15159233,2595
0.17538098,2596
0.17473759,2597
0.16711177,2598
0.1808729,2599
0.21923698,2600
0.1684065,2601
0.18545772,2602
0.17927812,2603
0.16860174,2604
0.1686568,2605
0.17411111,2606
0.17626502,2607
0.15877378,2608
0.16550423,2609
0.1546749,2610
0.1510913,2611
0.1456444,2612
