@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Spectral slope' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
-5.206099E-6,1077
-5.0450108E-6,1078
-4.0908894E-6,1079
-3.001832E-6,1080
-5.217097E-6,1081
-7.140217E-6,1082
-6.8991594E-6,1083
-6.8210716E-6,1084
-6.164177E-6,1085
-6.08668E-6,1086
-5.9346244E-6,1087
-4.8150323E-6,1088
-6.398089E-6,1089
-5.8716614E-6,1090
-5.6307395E-6,1091
-4.733713E-6,1092
-4.5518154E-6,1093
-4.540665E-6,1094
-5.058767E-6,1095
-6.6146135E-6,1096
-4.0443874E-6,1097
-4.5575357E-6,1098
-3.718079E-6,1099
-3.1806694E-6,1100
-2.5431673E-6,1101
-5.115743E-6,1102
-6.649388E-6,1103
-5.0754793E-6,1104
-4.137781E-6,1105
-3.9703204E-6,1106
-4.429041E-6,1107
-3.9973847E-6,1108
-3.6191318E-6,1109
-2.6481932E-6,1110
-3.122483E-6,1111
-3.5120463E-6,1112
-3.4682562E-6,1113
-3.371943E-6,1114
-3.7863954E-6,1115
-5.720897E-6,1116
-4.28007E-6,1117
-4.9803302E-6,1118
-4.008113E-6,1119
-4.029003E-6,1120
-2.8997713E-6,1121
-2.0609482E-6,1122
-5.0286717E-6,1123
-3.4533768E-6,1124
-3.4995724E-6,1125
-3.5044604E-6,1126
-5.060336E-6,1127
-3.5839535E-6,1128
-7.4710847E-6,1129
-6.5707072E-6,1130
-6.738019E-6,1131
-5.4693364E-6,1132
-5.3464637E-6,1133
-4.571153E-6,1134
-3.5904789E-6,1135
-3.929906E-6,1136
-6.9118714E-6,1137
-7.3232636E-6,1138
-6.3516004E-6,1139
-4.200707E-6,1140
-3.7723462E-6,1141
