@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Amplitude of maximum in the chromagram' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.48426875,1541
0.12741645,1542
0.46434072,1543
0.30122662,1544
0.31379834,1545
0.3474179,1546
0.21692544,1547
0.29635897,1548
0.52703315,1549
0.34323725,1550
0.30460984,1551
0.4214423,1552
0.15699817,1553
0.26852834,1554
0.22639817,1555
0.15341465,1556
0.40715864,1557
0.41347334,1558
0.43014795,1559
0.38737825,1560
0.29952925,1561
0.23007278,1562
0.5683847,1563
0.46759102,1564
0.28250834,1565
0.14618704,1566
0.27871332,1567
0.6076713,1568
0.47250208,1569
0.4152749,1570
0.35952425,1571
0.4318269,1572
0.3277717,1573
0.28374484,1574
0.09500205,1575
0.15384403,1576
0.33448374,1577
0.36220297,1578
0.4053219,1579
0.1485285,1580
0.2057677,1581
0.1905877,1582
0.2958977,1583
0.329864,1584
0.294296,1585
0.2906951,1586
0.15881525,1587
0.06821184,1588
0.11443148,1589
0.13025737,1590
0.465477,1591
0.253481,1592
0.1848991,1593
0.19412614,1594
0.2194408,1595
0.24853773,1596
0.23488022,1597
