@RELATION 'Music feature'
%rows=3
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Amplitude, position and width of 3rd spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 3rd spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 3rd spectral peak' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.055493407,3875.9766,26.0,516
0.053172804,2713.1836,13.0,517
0.08849967,301.46484,8.0,518
0.07167007,559.8633,25.0,519
0.06292967,2583.9844,40.0,520
0.067216285,3100.7812,13.0,521
0.070769526,3186.914,17.0,522
0.082968265,732.1289,28.0,523
0.06525415,3229.9805,8.0,524
0.063674435,3316.1133,15.0,525
0.06419168,3229.9805,51.0,526
0.064445734,430.66406,14.0,527
0.08013927,387.59766,8.0,528
0.047985584,3014.6484,9.0,529
0.050325006,516.7969,7.0,530
0.06653386,861.3281,13.0,531
0.069338456,2713.1836,9.0,532
0.088878885,3316.1133,41.0,533
0.07339784,2885.4492,14.0,534
0.0580483,3617.5781,24.0,535
0.10234615,430.66406,12.0,536
0.09453846,473.73047,27.0,537
0.0741803,732.1289,19.0,538
0.06248675,2454.7852,12.0,539
0.06904122,1119.7266,12.0,540
0.053834252,2670.1172,7.0,541
0.07613687,1679.5898,32.0,542
0.06400199,2497.8516,33.0,543
0.064304195,559.8633,10.0,544
0.06917458,2497.8516,15.0,545
0.11219821,43.066406,1.0,546
0.05408975,3143.8477,12.0,547
0.06513147,2885.4492,17.0,548
0.06549716,775.1953,16.0,549
0.06983825,2627.0508,18.0,550
0.05807588,559.8633,15.0,551
0.07600519,3057.7148,15.0,552
0.08383617,2799.3164,10.0,553
0.076930985,1894.9219,17.0,554
0.08987073,1248.9258,21.0,555
0.07856988,2756.25,17.0,556
0.06759106,3402.246,12.0,557
0.10584853,430.66406,14.0,558
0.1240537,1248.9258,13.0,559
0.11449756,301.46484,10.0,560
0.06496556,3316.1133,19.0,561
0.05707586,1851.8555,18.0,562
0.07523262,2239.4531,5.0,563
0.10227245,732.1289,7.0,564
0.11952554,1679.5898,18.0,565
0.06675994,2411.7188,13.0,566
0.10315681,387.59766,4.0,567
0.049268335,2799.3164,20.0,568
0.097539365,1248.9258,14.0,569
0.07825944,1248.9258,17.0,570
0.06972322,344.53125,9.0,571
0.058353487,2756.25,7.0,572
0.07465452,2497.8516,19.0,573
0.058841117,2756.25,57.0,574
0.07904616,732.1289,25.0,575
0.09537472,732.1289,39.0,576
0.07029527,2799.3164,17.0,577
0.076006435,732.1289,20.0,578
0.06672053,559.8633,6.0,579
0.07063743,387.59766,11.0,580
0.062015165,1033.5938,23.0,581
0.08437019,430.66406,8.0,582
0.07331102,2627.0508,19.0,583
0.04821945,689.0625,9.0,584
0.06876474,2627.0508,16.0,585
0.046239875,2583.9844,10.0,586
0.08191512,818.2617,7.0,587
0.07428401,2756.25,20.0,588
0.09020314,861.3281,19.0,589
0.07634056,2756.25,16.0,590
0.07468601,559.8633,10.0,591
0.053946383,3875.9766,5.0,592
0.08557689,473.73047,6.0,593
0.051873762,2756.25,8.0,594
0.060435828,2497.8516,34.0,595
0.047622133,3445.3125,16.0,596
0.06295114,3531.4453,92.0,597
0.05567018,2627.0508,9.0,598
0.054557167,2756.25,27.0,599
0.045890212,9345.41,48.0,600
0.055392858,2454.7852,21.0,601
0.0675039,1291.9922,18.0,602
0.038206577,2110.254,13.0,603
0.06138302,689.0625,33.0,604
0.1058119,2627.0508,24.0,605
0.07268917,2756.25,11.0,606
0.064178236,559.8633,7.0,607
0.08494574,387.59766,3.0,608
0.06591019,2842.3828,18.0,609
0.09088267,387.59766,6.0,610
0.04141915,2497.8516,9.0,611
0.04870363,2713.1836,30.0,612
0.051673993,3229.9805,7.0,613
0.07025521,2454.7852,20.0,614
0.07609511,1076.6602,20.0,615
0.089450546,2756.25,19.0,616
0.1449818,2756.25,23.0,617
0.079802975,2756.25,20.0,618
0.10693376,1248.9258,13.0,619
0.081049815,2583.9844,11.0,620
0.07809995,3746.7773,21.0,621
0.10588935,301.46484,8.0,622
0.060306154,2756.25,28.0,623
0.05858166,645.9961,10.0,624
0.061145168,1248.9258,31.0,625
0.05118825,1205.8594,30.0,626
0.055803433,3574.5117,12.0,627
0.058238924,732.1289,5.0,628
0.0709691,2110.254,15.0,629
0.1000581,129.19922,3.0,630
0.06745382,2239.4531,11.0,631
0.08816931,301.46484,28.0,632
0.056860454,2497.8516,15.0,633
0.10205543,3143.8477,13.0,634
0.087892555,3273.0469,16.0,635
0.06850727,473.73047,4.0,636
0.07109842,301.46484,22.0,637
0.08601221,387.59766,16.0,638
0.061535817,1033.5938,15.0,639
0.07187784,2540.918,20.0,640
0.0646293,473.73047,16.0,641
0.06504198,2540.918,11.0,642
0.08714223,861.3281,23.0,643
0.08615103,818.2617,6.0,644
0.085297905,732.1289,3.0,645
0.11480308,732.1289,18.0,646
0.0676396,473.73047,6.0,647
0.07988839,818.2617,9.0,648
0.07393843,818.2617,7.0,649
0.0652684,3574.5117,15.0,650
0.10428228,559.8633,8.0,651
0.070144005,1248.9258,11.0,652
0.06736133,2756.25,18.0,653
0.05721814,2454.7852,24.0,654
0.05605615,2842.3828,19.0,655
0.08276013,559.8633,20.0,656
0.0628694,2497.8516,15.0,657
0.06348289,2670.1172,26.0,658
0.06245317,3746.7773,21.0,659
0.07000408,2627.0508,20.0,660
0.050878413,2756.25,12.0,661
0.08467589,732.1289,37.0,662
0.071614236,2799.3164,16.0,663
0.07713186,861.3281,10.0,664
0.08721287,1851.8555,22.0,665
0.07957893,1679.5898,14.0,666
0.08649361,689.0625,5.0,667
0.08204001,2497.8516,16.0,668
0.079550914,990.52734,17.0,669
0.090369314,2670.1172,19.0,670
0.078575104,1679.5898,14.0,671
0.09312872,689.0625,11.0,672
0.08513394,732.1289,7.0,673
0.0891271,861.3281,8.0,674
0.08695369,1248.9258,7.0,675
0.11738492,430.66406,10.0,676
0.0899389,818.2617,13.0,677
0.0701588,861.3281,10.0,678
0.07305956,301.46484,6.0,679
0.104339354,301.46484,6.0,680
0.07007005,2540.918,10.0,681
0.061917495,1119.7266,10.0,682
0.058047354,2756.25,22.0,683
0.063927926,1033.5938,12.0,684
0.0733184,86.13281,2.0,685
0.047406603,2368.6523,19.0,686
0.054856233,2583.9844,15.0,687
0.050605766,2713.1836,20.0,688
0.048157778,2454.7852,23.0,689
0.07193645,2627.0508,17.0,690
0.042817887,689.0625,12.0,691
0.06278109,1033.5938,20.0,692
0.06295076,1033.5938,32.0,693
0.091513686,430.66406,5.0,694
0.03627173,3789.8438,20.0,695
0.061878167,2583.9844,12.0,696
0.07491882,947.46094,23.0,697
0.08697667,3919.043,171.0,698
0.07962064,3875.9766,45.0,699
0.079037204,3919.043,31.0,700
0.10537882,3919.043,38.0,701
0.11944736,3919.043,179.0,702
0.058538936,861.3281,32.0,703
0.07273978,2411.7188,10.0,704
0.07663565,2411.7188,40.0,705
0.057811093,732.1289,39.0,706
0.05371974,3273.0469,21.0,707
0.03837074,9087.012,34.0,708
0.045841966,9603.809,25.0,709
0.047704186,2497.8516,11.0,710
0.061753694,1033.5938,11.0,711
0.09696458,387.59766,5.0,712
0.12362323,2627.0508,22.0,713
0.09182274,2627.0508,19.0,714
0.070716366,645.9961,12.0,715
0.09762879,2627.0508,26.0,716
0.04650965,3273.0469,23.0,717
0.057368048,2756.25,29.0,718
0.067606874,3746.7773,10.0,719
0.043389425,3574.5117,24.0,720
0.07048824,2713.1836,21.0,721
0.062279094,645.9961,16.0,722
0.093947954,2454.7852,13.0,723
0.058784466,2583.9844,9.0,724
0.071197726,689.0625,14.0,725
0.06957617,2756.25,20.0,726
0.08241898,861.3281,4.0,727
0.07684514,1248.9258,11.0,728
0.07928118,2756.25,44.0,729
0.11985827,129.19922,4.0,730
0.118842155,1679.5898,27.0,731
0.06868514,861.3281,10.0,732
